workerid,condition,stim_present,stimulus,response,correct,rt
S110,1,1000,78,1,0,81
S110,1,1000,53,0,1,1906
S110,1,1000,98,1,0,26
S110,1,1000,89,1,0,22
S110,1,1000,52,0,1,96
S110,1,1000,81,0,1,52
S110,1,1000,37,0,0,379
S110,1,1000,88,0,0,1110
S110,1,1000,50,0,1,1112
S110,1,1000,32,0,1,1777
S110,1,1000,54,0,1,1967
S110,1,1000,69,1,1,508
S110,1,1000,47,1,1,152
S110,1,1000,100,1,1,89
S110,1,1000,86,0,0,633
S110,1,1000,31,1,1,71
S110,1,1000,49,0,0,11
S110,1,1000,67,0,1,166
S110,1,1000,23,1,0,16
S110,1,1000,2,1,0,199
S110,1,1000,75,1,1,189
S110,1,1000,105,0,0,1601
S110,1,1000,87,0,1,1812
S110,1,1000,42,1,1,219
S110,1,1000,96,0,1,1558
S110,1,1000,1,0,1,593
S110,1,1000,33,1,1,85
S110,1,1000,29,0,0,1912
S110,1,1000,118,1,1,1815
S110,1,1000,39,1,0,2043
S110,1,1000,79,0,0,1746
S110,1,1000,101,1,1,947
S110,1,1000,43,1,1,1957
S110,1,1000,56,1,1,616
S110,1,1000,90,0,0,600
S110,1,1000,40,0,0,1059
S110,1,1000,65,0,1,732
S110,1,1000,62,0,0,766
S110,1,1000,35,1,0,498
S110,1,1000,48,1,1,787
S110,1,1000,83,0,1,574
S110,1,1000,68,1,1,594
S110,1,1000,73,0,1,745
S110,1,1000,113,0,1,131
S110,1,1000,17,0,1,866
S110,1,1000,36,1,1,475
S110,1,1000,20,0,1,514
S110,1,1000,38,0,1,767
S110,1,1000,19,0,1,800
S110,1,1000,74,0,1,1299
S110,1,1000,95,1,1,1264
S110,1,1000,103,0,1,534
S110,1,1000,115,0,0,1839
S110,1,1000,14,0,1,848
S110,1,1000,22,1,1,467
S110,1,1000,28,0,0,665
S110,1,1000,70,0,1,620
S110,1,1000,107,1,1,682
S110,1,1000,55,1,1,430
S110,1,1000,0,0,1,1366
S110,1,1000,106,0,0,824
S110,1,1000,26,0,0,639
S110,1,1000,84,1,1,815
S110,1,1000,116,1,1,298
S110,1,1000,21,0,1,361
S110,1,1000,99,1,1,266
S110,1,1000,76,0,0,776
S110,1,1000,15,1,0,574
S110,1,1000,64,1,0,1150
S110,1,1000,44,1,1,553
S110,1,1000,85,0,1,414
S110,1,1000,114,0,1,37
S110,1,1000,110,1,0,1982
S110,1,1000,77,1,1,981
S110,1,1000,41,0,1,609
S110,1,1000,92,0,0,679
S110,1,1000,108,0,0,1052
S110,1,1000,9,1,1,869
S110,1,1000,11,1,1,677
S110,1,1000,3,0,1,530
S110,1,1000,97,1,1,564
S110,1,1000,112,1,1,54
S110,1,1000,5,1,0,644
S110,1,1000,91,1,0,886
S110,1,1000,61,0,1,683
S110,1,1000,71,0,1,526
S110,1,1000,4,0,1,470
S110,1,1000,58,0,1,666
S110,1,1000,111,1,0,601
S110,1,1000,104,1,1,532
S110,1,1000,10,1,1,493
S110,1,1000,109,0,1,493
S110,1,1000,102,0,1,512
S110,1,1000,93,0,1,474
S110,1,1000,72,0,0,919
S110,1,1000,57,1,1,614
S110,1,1000,46,1,1,767
S110,1,1000,18,1,1,63
S110,1,1000,60,0,1,490
S110,1,1000,6,0,1,781
S110,1,1000,12,0,1,481
S110,1,1000,25,1,0,566
S110,1,1000,94,1,1,178
S110,1,1000,119,1,1,48
S110,1,1000,51,0,0,572
S110,1,1000,30,0,1,529
S110,1,1000,63,1,1,678
S110,1,1000,24,0,0,879
S110,1,1000,45,1,1,695
S110,1,1000,34,0,1,463
S110,1,1000,117,1,1,599
S110,1,1000,59,0,1,2091
S110,1,1000,66,1,1,251
S110,1,1000,13,0,1,738
S110,1,1000,80,1,1,465
S110,1,1000,27,0,0,674
S110,1,1000,8,1,1,645
S110,1,1000,16,0,0,602
S110,1,1000,7,1,1,486
S110,1,1000,82,0,1,290
S101,1,2000,78,0,1,2171
S101,1,2000,52,1,1,1726
S101,1,2000,76,0,0,247
S101,1,2000,114,0,1,1435
S101,1,2000,108,0,0,246
S101,1,2000,20,1,1,1392
S101,1,2000,57,0,1,1549
S101,1,2000,84,0,1,1511
S101,1,2000,34,0,1,1274
S101,1,2000,30,0,1,1404
S101,1,2000,18,0,1,1661
S101,1,2000,59,0,1,1213
S101,1,2000,13,0,1,2206
S101,1,2000,2,1,1,2128
S101,1,2000,90,0,1,2014
S101,1,2000,41,1,0,1487
S101,1,2000,112,0,1,1453
S101,1,2000,14,1,0,1869
S101,1,2000,86,1,0,1662
S101,1,2000,67,0,1,1575
S101,1,2000,103,0,1,400
S101,1,2000,33,0,1,1291
S101,1,2000,40,1,1,238
S101,1,2000,115,1,1,1691
S101,1,2000,82,0,1,1454
S101,1,2000,109,0,1,110
S101,1,2000,8,1,1,1385
S101,1,2000,119,0,1,1134
S101,1,2000,56,0,1,1566
S101,1,2000,68,0,1,1390
S101,1,2000,55,1,1,1370
S101,1,2000,22,1,1,1438
S101,1,2000,61,0,0,2168
S101,1,2000,105,0,1,1433
S101,1,2000,69,0,1,1982
S101,1,2000,50,0,1,1919
S101,1,2000,64,1,1,352
S101,1,2000,92,0,1,1501
S101,1,2000,54,0,1,1659
S101,1,2000,48,0,1,1630
